species,APC_name,NT,Qld,WA,ChI,NSW,SA,Vic,Tas,ACT,NI,LHI,MI,HI,MDI,CoI,CSI,AR,CaI,family
Mitrasacme glaucescens Dunlop,Mitrasacme glaucescens,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Loganiaceae
Mitrasacme graminea Dunlop,Mitrasacme graminea,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Loganiaceae
Mitrasacme hispida W.Fitzg.,Mitrasacme hispida,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Loganiaceae
Mitrasacme inornata Dunlop,Mitrasacme inornata,native,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Loganiaceae
Mitrasacme katjarranka N.Gibson & S.J.van Leeuwen,Mitrasacme katjarranka,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Loganiaceae
Mitrasacme kenneallyi Dunlop,Mitrasacme kenneallyi,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Loganiaceae
Mitrasacme latiflora S.Moore,Mitrasacme latiflora,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Loganiaceae
Mitrasacme laxiceps Dunlop,Mitrasacme laxiceps,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Loganiaceae
Mitrasacme lutea F.Muell.,Mitrasacme lutea,native,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Loganiaceae
Mitrasacme maritima Dunlop,Mitrasacme maritima,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Loganiaceae
Mitrasacme micrantha Domin,Mitrasacme micrantha,native,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Loganiaceae
Mitrasacme neldneri Dunlop,Mitrasacme neldneri,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Loganiaceae
Mitrasacme patens Dunlop,Mitrasacme patens,native,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Loganiaceae
Mitrasacme retroloba Dunlop,Mitrasacme retroloba,native,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Loganiaceae
Mitrasacme scopata Dunlop,Mitrasacme scopata,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Loganiaceae
Mitrasacme secedens Dunlop,Mitrasacme secedens,native,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Loganiaceae
Mitrasacme squamigera Dunlop,Mitrasacme squamigera,native,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Loganiaceae
Mitrasacme thedae M.D.Barrett & R.L.Barrett,Mitrasacme thedae,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Loganiaceae
Mitrasacme troglodytica Dunlop,Mitrasacme troglodytica,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Loganiaceae
Orianthera biloba (B.J.Conn) C.S.P.Foster & B.J.Conn,Orianthera biloba,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Loganiaceae
Orianthera callosa (F.Muell.) C.S.P.Foster & B.J.Conn,Orianthera callosa,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Loganiaceae
Orianthera exilis (B.J.Conn) C.S.P.Foster & B.J.Conn,Orianthera exilis,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Loganiaceae
Orianthera wendyae (Cranfield & Keighery) C.S.P.Foster & B.J.Conn,Orianthera wendyae,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Loganiaceae
Aidia gyropetala A.J.Ford & Halford,Aidia gyropetala,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Rubiaceae
Amaracarpus pubescens Blume,Amaracarpus pubescens,not present,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,native,not present,not present,not present,Rubiaceae
Asperula acuminata I.Thomps.,Asperula acuminata,not present,not present,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Rubiaceae
Asperula polymera I.Thomps.,Asperula polymera,not present,not present,not present,not present,native,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Rubiaceae
Asperula subulifolia Airy Shaw & Turrill,Asperula subulifolia,not present,native,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Rubiaceae
Asperula syrticola (Miq.) Toelken,Asperula syrticola,not present,not present,not present,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Rubiaceae
Asperula tetraphylla (Airy Shaw & Turrill) I.Thomps.,Asperula tetraphylla,not present,not present,not present,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Rubiaceae
Coprosma huttoniana P.S.Green,Coprosma huttoniana,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,Rubiaceae
Coprosma inopinata I.Hutton & P.S.Green,Coprosma inopinata,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,Rubiaceae
Coprosma lanceolaris F.Muell.,Coprosma lanceolaris,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,Rubiaceae
Dentella arnhemensis Halford MS,Dentella arnhemensis MS,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Rubiaceae
Dentella browniana Domin,Dentella browniana,native,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Rubiaceae
Dentella serpyllifolia Wall. ex Airy Shaw,Dentella serpyllifolia,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Rubiaceae
Galium albescens Hook.f.,Galium albescens,not present,not present,not present,not present,not present,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Rubiaceae
Galium bulliformis I.Thomps.,Galium bulliformis,not present,not present,not present,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Rubiaceae
Galium microlobum I.Thomps.,Galium microlobum,not present,not present,not present,not present,native,native,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Rubiaceae
Galium spathulatum I.Thomps.,Galium spathulatum,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Rubiaceae
Galium terrae-reginae Ehrend. & McGill.,Galium terrae-reginae,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Rubiaceae
Gardenia faucicola Puttock,Gardenia faucicola,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Rubiaceae
Gardenia gardneri Puttock,Gardenia gardneri,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Rubiaceae
Gardenia jabiluka Puttock,Gardenia jabiluka,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Rubiaceae
Gardenia sericea Puttock,Gardenia sericea,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Rubiaceae
Gynochthodes retropila (Halford & A.J.Ford) Razafim. & B.Bremer,Gynochthodes retropila,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Rubiaceae
Hedyotis philippensis (Spreng.) Merr. ex C.B.Rob.,Hedyotis philippensis,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Rubiaceae
Ixora oreogena S.T.Reynolds & P.I.Forst.,Ixora oreogena,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Rubiaceae
Knoxia sumatrensis (Retz.) DC.,Knoxia sumatrensis,not present,native,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Rubiaceae
Lasianthus hirsutus (Roxb.) Merr.,Lasianthus hirsutus,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Rubiaceae
Oldenlandia biflora L.,Oldenlandia biflora,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Rubiaceae
Oldenlandia coerulescens (F.Muell.) F.Muell.,Oldenlandia coerulescens,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Rubiaceae
Oldenlandia delicata (Halford) Halford,Oldenlandia delicata,native,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Rubiaceae
Oldenlandia kochiae Halford,Oldenlandia kochiae,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Rubiaceae
Oldenlandia pinifolia (Wall. ex G.Don) Kuntze,Oldenlandia pinifolia,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Rubiaceae
Oldenlandia spathulata Halford,Oldenlandia spathulata,native,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Rubiaceae
Oldenlandia tenuifolia Burm.f.,Oldenlandia tenuifolia,native,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Rubiaceae
Opercularia hirsuta F.Muell. ex Benth.,Opercularia hirsuta,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Rubiaceae
Opercularia liberiflora F.Muell.,Opercularia liberiflora,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Rubiaceae
Opercularia loganioides Keighery,Opercularia loganioides,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Rubiaceae
Opercularia rubioides Juss.,Opercularia rubioides,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Rubiaceae
Pavetta conferta S.T.Reynolds,Pavetta conferta,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Rubiaceae
Pavetta kimberleyana S.T.Reynolds,Pavetta kimberleyana,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Rubiaceae
Pavetta platyclada K.Schum. & Lauterb.,Pavetta platyclada,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Rubiaceae
Pavetta rupicola S.T.Reynolds,Pavetta rupicola,native,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Rubiaceae
Pavetta speciosa S.T.Reynolds,Pavetta speciosa,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Rubiaceae
Pavetta tenella S.T.Reynolds,Pavetta tenella,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Rubiaceae
Pavetta vaga S.T.Reynolds,Pavetta vaga,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Rubiaceae
Psychotria hebecarpa Merr. & L.M.Perry,Psychotria hebecarpa,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Rubiaceae
Psychotria interstans Domin,Psychotria interstans,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Rubiaceae
Psychotria lorentzii Valeton,Psychotria lorentzii,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Rubiaceae
Psydrax johnsonii S.T.Reynolds & R.J.F.Hend.,Psydrax johnsonii,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Rubiaceae
Psydrax lepida S.T.Reynolds & R.J.F.Hend.,Psydrax lepida,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Rubiaceae
Psydrax montigena S.T.Reynolds & R.J.F.Hend.,Psydrax montigena,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Rubiaceae
Psydrax pallida S.T.Reynolds & R.J.F.Hend.,Psydrax pallida,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Rubiaceae
Psydrax paludosa S.T.Reynolds & R.J.F.Hend.,Psydrax paludosa,native,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Rubiaceae
Psydrax rigidula S.T.Reynolds & R.J.F.Hend.,Psydrax rigidula,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Rubiaceae
Psydrax suaveolens (S.Moore) S.T.Reynolds & R.J.F.Hend.,Psydrax suaveolens,native,not present,native,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Rubiaceae
Spermacoce aequabilis Harwood,Spermacoce aequabilis,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Rubiaceae
Spermacoce aurantiseta Harwood,Spermacoce aurantiseta,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Rubiaceae
Spermacoce brevidens Harwood,Spermacoce brevidens,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Rubiaceae
Spermacoce buckleyi Fosberg,Spermacoce buckleyi,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Rubiaceae
Spermacoce cardiophora Harwood,Spermacoce cardiophora,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Rubiaceae
Spermacoce caudata Harwood,Spermacoce caudata,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Rubiaceae
Spermacoce congestanthera Harwood,Spermacoce congestanthera,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Rubiaceae
Spermacoce discreta Harwood,Spermacoce discreta,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Rubiaceae
Spermacoce diversistyla Harwood,Spermacoce diversistyla,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Rubiaceae
Spermacoce erectiloba Harwood,Spermacoce erectiloba,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Rubiaceae
Spermacoce everistiana Fosberg,Spermacoce everistiana,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Rubiaceae
Spermacoce gilliesae (Specht) J.R.Clarkson,Spermacoce gilliesae,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Rubiaceae
Spermacoce graniticola Harwood,Spermacoce graniticola,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Rubiaceae
Spermacoce inaperta F.Muell.,Spermacoce inaperta,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Rubiaceae
Spermacoce jacobsonii F.M.Bailey,Spermacoce jacobsonii,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Rubiaceae
Spermacoce lamprosperma Harwood,Spermacoce lamprosperma,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Rubiaceae
Spermacoce latimarginata Harwood,Spermacoce latimarginata,native,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Rubiaceae
Spermacoce marginata Benth.,Spermacoce marginata,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Rubiaceae
Spermacoce membranacea R.Br. ex Benth.,Spermacoce membranacea,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Rubiaceae
Spermacoce omissa J.R.Clarkson,Spermacoce omissa,native,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Rubiaceae
Spermacoce papuana F.Muell.,Spermacoce papuana,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Rubiaceae
Spermacoce pessima Harwood,Spermacoce pessima,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Rubiaceae
Spermacoce protrusa Harwood,Spermacoce protrusa,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Rubiaceae
Spermacoce redacta Harwood,Spermacoce redacta,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Rubiaceae
Spermacoce resinosula Harwood,Spermacoce resinosula,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Rubiaceae
Spermacoce retitesta Harwood,Spermacoce retitesta,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Rubiaceae
Spermacoce scabrisina Harwood,Spermacoce scabrisina,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Rubiaceae
Spermacoce stigmatosa Harwood,Spermacoce stigmatosa,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Rubiaceae
Spermacoce suprahila Harwood,Spermacoce suprahila,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Rubiaceae
Spermacoce tectanthera Harwood,Spermacoce tectanthera,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Rubiaceae
Spermacoce trichosiphonia Harwood,Spermacoce trichosiphonia,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Rubiaceae
Spermacoce uniseta F.M.Bailey,Spermacoce uniseta,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Rubiaceae
Uncaria callophylla Blume ex Korth.,Uncaria callophylla,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Rubiaceae
Wendlandia psychotrioides (F.Muell.) F.Muell.,Wendlandia psychotrioides,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Rubiaceae
Wendlandia urceolata C.T.White,Wendlandia urceolata,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Rubiaceae
Vincetoxicum cinerascens (R.Br.) Meve & Liede,Vincetoxicum cinerascens,native,native,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,NA
Vincetoxicum leibianum (F.Muell.) Liede,Vincetoxicum leibianum,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,NA
Vincetoxicum rupicola (P.I.Forst.) Meve & Liede,Vincetoxicum rupicola,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,NA
Asystasia alba Ridl.,Asystasia alba,not present,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Acanthaceae
Dicladanthera glabra R.M.Barker,Dicladanthera glabra,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Acanthaceae
Dicliptera australis (Nees) R.M.Barker,Dicliptera australis,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Acanthaceae
Dicliptera maclearii Hemsl.,Dicliptera maclearii,not present,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Acanthaceae
Dicliptera miscella R.M.Barker,Dicliptera miscella,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Acanthaceae
Dicliptera spicata Decne.,Dicliptera spicata,native,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Acanthaceae
Dipteracanthus bracteatus (R.Br.) Nees,Dipteracanthus bracteatus,native,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Acanthaceae
Dipteracanthus chichesterensis Trudgen & P.-L.de Kock,Dipteracanthus chichesterensis,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Acanthaceae
Hypoestes sparsiflora R.M.Barker,Hypoestes sparsiflora,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Acanthaceae
Lepidagathis royenii Bremek.,Lepidagathis royenii,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Acanthaceae
Anisomeles ajugacea (F.M.Bailey & F.Muell.) A.R.Bean,Anisomeles ajugacea,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Lamiaceae
Anisomeles antrorsa A.R.Bean,Anisomeles antrorsa,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Lamiaceae
Anisomeles carpentarica A.R.Bean,Anisomeles carpentarica,native,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Lamiaceae
Anisomeles dallachyi A.R.Bean,Anisomeles dallachyi,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Lamiaceae
Anisomeles eriodes A.R.Bean,Anisomeles eriodes,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Lamiaceae
Anisomeles farinacea A.R.Bean,Anisomeles farinacea,native,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Lamiaceae
Anisomeles languida A.R.Bean,Anisomeles languida,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Lamiaceae
Anisomeles leucotricha A.R.Bean,Anisomeles leucotricha,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Lamiaceae
Anisomeles ornans A.R.Bean,Anisomeles ornans,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Lamiaceae
Anisomeles papuana A.R.Bean,Anisomeles papuana,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Lamiaceae
Anisomeles principis A.R.Bean,Anisomeles principis,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Lamiaceae
Anisomeles salviifolia R.Br.,Anisomeles salviifolia,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Lamiaceae
Anisomeles viscidula A.R.Bean,Anisomeles viscidula,native,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Lamiaceae
Anisomeles vulpina A.R.Bean,Anisomeles vulpina,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Lamiaceae
Anisomeles xerophila A.R.Bean,Anisomeles xerophila,native,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Lamiaceae
Callicarpa caudata Maxim.,Callicarpa caudata,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Lamiaceae
Callicarpa thozetii Munir,Callicarpa thozetii,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Lamiaceae
Clerodendrum indicum (L.) Kuntze,Clerodendrum indicum,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,native,not present,not present,not present,Lamiaceae
Cymaria dichotoma Benth.,Cymaria dichotoma,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Lamiaceae
Dasymalla chorisepala (Munir) B.J.Conn & Henwood,Dasymalla chorisepala,native,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Lamiaceae
Dicrastylis archeri Munir,Dicrastylis archeri,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Lamiaceae
Dicrastylis capitellata Munir,Dicrastylis capitellata,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Lamiaceae
Dicrastylis cundeeleensis Rye,Dicrastylis cundeeleensis,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Lamiaceae
Dicrastylis kumarinensis Rye,Dicrastylis kumarinensis,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Lamiaceae
Dicrastylis maritima Rye & Trudgen,Dicrastylis maritima,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Lamiaceae
Dicrastylis mitchellii Rye,Dicrastylis mitchellii,not present,not present,native,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,not present,Lamiaceae
